,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
120,"Therefore I Am","Billie Eilish",362250,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
121,"52 Gaj Ka Daman","Renuka Panwar",361126,https://open.spotify.com/track/6WsSXAOzm6xpWRivqdt98X
122,"Muqabla (From ""Street Dancer 3D"")","Yash Narvekar",360423,https://open.spotify.com/track/28veUNu4veN0LOBVa0nFw8
123,Baari,"Bilal Saeed",358649,https://open.spotify.com/track/7cuYb19oTyv1tLTgzH7qpv
124,FRIENDS,Marshmello,356501,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
125,"7 rings","Ariana Grande",354197,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
126,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon",353558,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
127,"On My Way","Alan Walker",351806,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
128,"you broke me first","Tate McRae",351763,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
129,"Dil Diyan Gallan",Vishal-Shekhar,350048,https://open.spotify.com/track/5MnAi6ZF7cE8pAz7wYr9Ta
130,"Shape of You","Ed Sheeran",348184,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
131,"De Una Vez","Selena Gomez",346600,https://open.spotify.com/track/0HC6S4VpCGAZvyxTdrMRIQ
132,"Savage Love (Laxed - Siren Beat)","Jawsh 685",346523,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
133,Kabira,Pritam,346496,https://open.spotify.com/track/4bD9z9qa4qg9BhryvYWB7c
134,"I Like Me Better",Lauv,342254,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
135,"Old Skool","Prem Dhillon",341848,https://open.spotify.com/track/4V9rQZOGILc4YfBnCDXgTz
136,"Bujji (From ""Jagame Thandhiram"")","Santhosh Narayanan",340420,https://open.spotify.com/track/6rJhjykEkCqm3H64uALhhf
137,"Kutti Story","Anirudh Ravichander",340172,https://open.spotify.com/track/4tHdVbionAnDm4LN17MDIl
138,"Ek Tarfa","Darshan Raval",338205,https://open.spotify.com/track/64r6z0P3RnhpTGdkA7p5Os
139,"Baby Girl","Guru Randhawa",337486,https://open.spotify.com/track/0FoAlOXHI6KJ4RHP9v8jnw
140,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",335699,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
141,"Jaan 'Nisaar (Arijit)","Arijit Singh",333786,https://open.spotify.com/track/6pzlnyHTVYi5FOmrgOmC95
142,"Love Story","Taylor Swift",333552,https://open.spotify.com/track/7bad461siaxECNlaYsmIo6
143,Shower,"Becky G",333098,https://open.spotify.com/track/3DmW6y7wTEYHJZlLo1r6XJ
144,"At My Worst","Pink Sweat$",332870,https://open.spotify.com/track/2tI4WyzqOOwC23S5m0kqcB
145,"ily (i love you baby) (feat. Emilee)","Surf Mesa",331732,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
146,"Tum Se Hi (From ""Sadak 2"")","Ankit Tiwari",326701,https://open.spotify.com/track/2fwd3t4N8QNy9w7VT1zC97
147,"Ve Maahi","Arijit Singh",326602,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
148,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",326053,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
149,"8 Parche","Baani Sandhu",323749,https://open.spotify.com/track/42ETKyApzUl8hTtytFAjen
150,"Asal Mein","Darshan Raval",323394,https://open.spotify.com/track/0rMeOAvbQZ2RTG4B6L1M4p
151,Samajavaragamana,"Sid Sriram",321501,https://open.spotify.com/track/3j9DrRebdWK1jkpOw9FZUy
152,"O Saki Saki (From ""Batla House"")","Neha Kakkar",321085,https://open.spotify.com/track/5djZm1zFGcJUSUqbBjrAZH
153,"Temporary Pyar",Kaka,320983,https://open.spotify.com/track/4ifLYULUrrrUHEgj15DNKx
154,"Roses - Imanbek Remix","SAINt JHN",319290,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
155,"WAP (feat. Megan Thee Stallion)","Cardi B",317511,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
156,"bad guy","Billie Eilish",316513,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
157,"Ice Cream (with Selena Gomez)",BLACKPINK,315377,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
158,Attention,"Charlie Puth",313844,https://open.spotify.com/track/5cF0dROlMOK5uNZtivgu50
159,"Humdard (From ""Ek Villain"")","Arijit Singh",313161,https://open.spotify.com/track/2PvaburAUlhNHxVhw5lvOq
